index,topic_idx
45654,0
45655,3
45656,2
45657,2
45658,3
45659,3
45660,5
45661,3
45662,4
45663,4
45664,2
45665,6
45666,4
45667,5
45668,6
45669,1
45670,6
45671,2
45672,4
45673,4
45674,4
45675,4
45676,4
45677,3
45678,0
45679,3
45680,6
45681,3
45682,5
45683,3
45684,2
45685,1
45686,4
45687,5
45688,2
45689,4
45690,5
45691,4
45692,6
45693,5
45694,5
45695,4
45696,5
45697,2
45698,0
45699,2
45700,3
45701,6
45702,1
45703,4
45704,0
45705,4
45706,6
45707,4
45708,5
45709,1
45710,4
45711,6
45712,1
45713,3
45714,4
45715,4
45716,4
45717,5
45718,3
45719,1
45720,5
45721,5
45722,2
45723,4
45724,3
45725,1
45726,3
45727,3
45728,1
45729,5
45730,1
45731,2
45732,1
45733,3
45734,6
45735,1
45736,5
45737,4
45738,6
45739,5
45740,4
45741,1
45742,6
45743,1
45744,5
45745,5
45746,4
45747,4
45748,4
45749,3
45750,6
45751,6
45752,0
45753,1
45754,5
45755,5
45756,2
45757,4
45758,5
45759,4
45760,3
45761,4
45762,1
45763,3
45764,2
45765,2
45766,2
45767,4
45768,3
45769,5
45770,3
45771,6
45772,0
45773,4
45774,1
45775,0
45776,6
45777,1
45778,2
45779,1
45780,4
45781,4
45782,0
45783,4
45784,0
45785,3
45786,6
45787,6
45788,2
45789,1
45790,6
45791,3
45792,1
45793,0
45794,2
45795,2
45796,2
45797,2
45798,4
45799,1
45800,1
45801,2
45802,3
45803,6
45804,6
45805,0
45806,1
45807,6
45808,6
45809,3
45810,4
45811,6
45812,2
45813,6
45814,1
45815,2
45816,3
45817,5
45818,5
45819,3
45820,4
45821,1
45822,1
45823,4
45824,1
45825,2
45826,6
45827,1
45828,4
45829,4
45830,2
45831,3
45832,6
45833,2
45834,5
45835,1
45836,5
45837,1
45838,5
45839,2
45840,6
45841,2
45842,3
45843,5
45844,2
45845,4
45846,0
45847,2
45848,6
45849,2
45850,6
45851,1
45852,1
45853,2
45854,1
45855,2
45856,4
45857,6
45858,5
45859,3
45860,5
45861,5
45862,4
45863,0
45864,1
45865,1
45866,3
45867,1
45868,1
45869,0
45870,3
45871,0
45872,6
45873,2
45874,4
45875,3
45876,5
45877,1
45878,0
45879,5
45880,0
45881,3
45882,4
45883,4
45884,6
45885,6
45886,1
45887,6
45888,4
45889,4
45890,5
45891,2
45892,4
45893,1
45894,5
45895,5
45896,2
45897,4
45898,0
45899,4
45900,5
45901,2
45902,6
45903,4
45904,2
45905,5
45906,1
45907,5
45908,5
45909,4
45910,5
45911,4
45912,1
45913,4
45914,5
45915,4
45916,0
45917,3
45918,3
45919,2
45920,0
45921,6
45922,5
45923,2
45924,4
45925,2
45926,2
45927,3
45928,6
45929,0
45930,3
45931,6
45932,4
45933,4
45934,6
45935,1
45936,4
45937,4
45938,4
45939,6
45940,3
45941,2
45942,3
45943,2
45944,2
45945,2
45946,0
45947,4
45948,5
45949,6
45950,4
45951,4
45952,3
45953,0
45954,6
45955,6
45956,0
45957,4
45958,6
45959,6
45960,3
45961,2
45962,1
45963,6
45964,2
45965,2
45966,5
45967,1
45968,0
45969,1
45970,3
45971,5
45972,0
45973,6
45974,5
45975,4
45976,1
45977,6
45978,2
45979,0
45980,1
45981,0
45982,4
45983,5
45984,0
45985,2
45986,4
45987,1
45988,6
45989,1
45990,1
45991,2
45992,4
45993,3
45994,3
45995,5
45996,1
45997,3
45998,1
45999,1
46000,4
46001,1
46002,4
46003,1
46004,1
46005,4
46006,4
46007,4
46008,0
46009,3
46010,2
46011,3
46012,1
46013,4
46014,2
46015,0
46016,4
46017,1
46018,4
46019,0
46020,0
46021,2
46022,2
46023,5
46024,0
46025,1
46026,6
46027,2
46028,6
46029,3
46030,2
46031,6
46032,5
46033,4
46034,4
46035,1
46036,0
46037,6
46038,2
46039,0
46040,1
46041,3
46042,5
46043,4
46044,3
46045,1
46046,0
46047,4
46048,4
46049,1
46050,4
46051,3
46052,6
46053,5
46054,4
46055,6
46056,3
46057,4
46058,5
46059,4
46060,4
46061,6
46062,1
46063,5
46064,5
46065,3
46066,5
46067,2
46068,5
46069,1
46070,5
46071,1
46072,5
46073,3
46074,5
46075,5
46076,4
46077,6
46078,6
46079,6
46080,6
46081,6
46082,4
46083,1
46084,6
46085,1
46086,4
46087,3
46088,5
46089,5
46090,5
46091,6
46092,6
46093,3
46094,0
46095,1
46096,5
46097,3
46098,4
46099,2
46100,3
46101,2
46102,3
46103,1
46104,1
46105,3
46106,1
46107,1
46108,0
46109,1
46110,5
46111,1
46112,2
46113,3
